_id,syllabus,title,mainTopic,difficulty,category,resourceUrls[0],timestamps,isCompleted,updatedAt
66f300bd3971ea5fc6a94620,WEB3,HTML,Foundations,Easy,Web Dev,https://nextjs.org/learn,,TRUE,2024-09-25T17:23:01.671Z
66f300bd3971ea5fc6a94621,WEB3,CSS,Foundations,Easy,Web Dev,,,TRUE,2024-09-29T17:39:20.027Z
66f300bd3971ea5fc6a94622,WEB3,"Bash basics (cd, ls, pwd, mkdir, touch, vi)",Foundations,Easy,Web Dev,,,FALSE,2024-12-05T11:42:03.622Z
66f300bd3971ea5fc6a94623,WEB3,"Bash medium (grep, piping, reverse search)",Foundations,Medium,Web Dev,,,FALSE,
66f300bd3971ea5fc6a94624,WEB3,Git/Github,Foundations,Easy,Web Dev,,,FALSE,
66f300bd3971ea5fc6a94625,WEB3,"JS Intro, Single threaded nature of JS",Foundations,Easy,Web Dev,,,FALSE,
66f300bd3971ea5fc6a94626,WEB3,"Async JS, callback queue, event loop",Foundations,Medium,Web Dev,,,FALSE,
66f300bd3971ea5fc6a94627,WEB3,"Creating promises, Common Promise API methods",Foundations,Hard,Web Dev,,,FALSE,
66f300bd3971ea5fc6a94628,WEB3,"Common JS APIs (map, filter, reduce, Object.keys)",Foundations,Medium,Web Dev,,,FALSE,
66f300bd3971ea5fc6a94629,WEB3,"Intro to DOM, DOM Tree Structure","Simple frontend, DOM",Easy,Frontend,,,FALSE,
66f300bd3971ea5fc6a9462a,WEB3,"Common DOM APIs (getElementById, getElementsByClassName, querySelector, innerHTML, innerText, getAttribute, setAttribute)","Simple frontend, DOM",Medium,Frontend,,,FALSE,
66f300bd3971ea5fc6a9462b,WEB3,"Event handlers, onClick, stopPropagation","Simple frontend, DOM",Medium,Frontend,,,FALSE,
66f300bd3971ea5fc6a9462c,WEB3,localStorage,"Simple frontend, DOM",Medium,Frontend,,,FALSE,2024-09-29T06:43:21.171Z
66f300bd3971ea5fc6a9462d,WEB3,"DOM Manipulation, Dynamic frontends","Simple frontend, DOM",Hard,Frontend,,,FALSE,
66f300bd3971ea5fc6a9462e,WEB3,"Creating a simple reconciler, Foundation for React","Simple frontend, DOM",Hard,Frontend,,,FALSE,
66f300bd3971ea5fc6a9462f,WEB3,Pure frontend TODO app using DOM Manipulation,Project,Hard,Project,,,FALSE,
66f300bd3971ea5fc6a94630,WEB3,What is a JS runtime,Node.js/Bun/Cloudflare Runtime,Easy,Backend,,,FALSE,
66f300bd3971ea5fc6a94631,WEB3,"Node.js installation, common APIs",Node.js/Bun/Cloudflare Runtime,Easy,Backend,,,FALSE,
66f300bd3971ea5fc6a94632,WEB3,"file system api, fetch",Node.js/Bun/Cloudflare Runtime,Medium,Backend,,,FALSE,
66f300bd3971ea5fc6a94633,WEB3,"External packages, axios vs fetch",Node.js/Bun/Cloudflare Runtime,Medium,Backend,,,FALSE,
66f300bd3971ea5fc6a94634,WEB3,"v8, cf runtime",Node.js/Bun/Cloudflare Runtime,Hard,Backend,,,FALSE,
66f300bd3971ea5fc6a94635,WEB3,"stream, worker threads, cluster module",Node.js/Bun/Cloudflare Runtime,Hard,Backend,,,FALSE,
66f300bd3971ea5fc6a94636,WEB3,What are HTTP Servers,HTTP Servers,Simple,Backend,,,FALSE,
66f300bd3971ea5fc6a94637,WEB3,"Methods, routes, URLs, IPs and domains",HTTP Servers,Medium,Backend,,,FALSE,
66f300bd3971ea5fc6a94638,WEB3,"headers, body, query parameters",HTTP Servers,Medium,Backend,,,FALSE,
66f300bd3971ea5fc6a94639,WEB3,"Intro to express, creating routes",HTTP Servers,Medium,Backend,,,FALSE,
66f300bd3971ea5fc6a9463a,WEB3,Middlewares in express,HTTP Servers,Medium,Backend,,,FALSE,
66f300bd3971ea5fc6a9463b,WEB3,File system like DBs,HTTP Servers,Hard,Backend,,,FALSE,
66f300bd3971ea5fc6a9463c,WEB3,"Authentication using jwts, basics of jwts",HTTP Servers,Hard,Backend,,,FALSE,
66f300bd3971ea5fc6a9463d,WEB3,Secret management using Doppler,HTTP Servers,Hard,Backend,,,FALSE,
66f300bd3971ea5fc6a9463e,WEB3,Intro to Databases,NoSQL Databases,Easy,Databases,,,FALSE,
66f300bd3971ea5fc6a9463f,WEB3,SQL vs NoSQL,NoSQL Databases,Medium,Databases,,,FALSE,
66f300bd3971ea5fc6a94640,WEB3,"MongoDB Intro, getting your first DB",NoSQL Databases,Medium,Databases,,,FALSE,
66f300bd3971ea5fc6a94641,WEB3,"mongoose, Schemas etc. Simple CRUD",NoSQL Databases,Medium,Databases,,,FALSE,
66f300bd3971ea5fc6a94642,WEB3,Relationships intro,NoSQL Databases,Hard,Databases,,,FALSE,
66f300bd3971ea5fc6a94643,WEB3,Relationships in Mongo,NoSQL Databases,Hard,Databases,,,FALSE,
66f300bd3971ea5fc6a94644,WEB3,Aggregations in mongo,NoSQL Databases,Hard,Databases,,,FALSE,
66f300bd3971ea5fc6a94645,WEB3,Recap SQL vs NoSQL,SQL Databases,Easy,Databases,,,FALSE,
66f300bd3971ea5fc6a94646,WEB3,"Postgres intro, getting your free",SQL Databases,Easy,Databases,,,FALSE,
66f300bd3971ea5fc6a94647,WEB3,"Creating schemas while dealing with SQL databases, CREATE TABLE",SQL Databases,Medium,Databases,,,FALSE,
66f300bd3971ea5fc6a94648,WEB3,SQL queries (CRUD),SQL Databases,Medium,Databases,,,FALSE,
66f300bd3971ea5fc6a94649,WEB3,Indexes,SQL Databases,Medium,Databases,,,FALSE,
66f300bd3971ea5fc6a9464a,WEB3,Transactions and Concurrency Control,SQL Databases,Hard,Databases,,,FALSE,
66f300bd3971ea5fc6a9464b,WEB3,Normalization,SQL Databases,Hard,Databases,,,FALSE,
66f300bd3971ea5fc6a9464c,WEB3,"Sub queries, batch queries",SQL Databases,Hard,Databases,,,FALSE,
66f300bd3971ea5fc6a9464d,WEB3,Intro to ORMs,ORMs,Easy,ORMs,,,FALSE,
66f300bd3971ea5fc6a9464e,WEB3,"Prisma basics, setup, schema generation and CRUD queries",ORMs,Medium,ORMs,,,FALSE,
66f300bd3971ea5fc6a9464f,WEB3,Transactions and relationships in prisma**,ORMs,Medium,ORMs,,,FALSE,
66f300bd3971ea5fc6a94650,WEB3,"Drizzle basics, setup, schema",ORMs,Medium,ORMs,,,FALSE,
66f300bd3971ea5fc6a94651,WEB3,Txns and relationships in drizzle,ORMs,Hard,ORMs,,,FALSE,
66f300bd3971ea5fc6a94652,WEB3,"Revise DOM, foundation of React, why frontend frameworks",React,Easy,Frontend,,,FALSE,
